Question,Answer's Article-ID,Answer
Who mediated the truce with Khomeini?,400.txt,"Subsequently, Khomeini accepted a truce mediated by the UN."
When did an empire collapse after Alexander's conquests?,304.txt,Alexander's march east put him in confrontation with the Nanda Empire of Magadha and the Gangaridai of Bengal.
What is the Leader of the Revolution also known as in Iran?,400.txt,"The Leader of the Revolution (""Supreme Leader"") is responsible for delineation and supervision of the general policies of the Islamic Republic of Iran."
What is the nickname for  Tucson?,390.txt,"Roughly 150 Tucson companies are involved in the design and manufacture of optics and optoelectronics systems, earning Tucson the nickname ""Optics Valley""."
Who bought Arizona?,390.txt,"Arizona, south of the Gila River was legally bought from Mexico in the Gadsden Purchase on June 8, 1854."
When was Arizona purchased by Mexico?,390.txt,"Arizona, south of the Gila River was legally bought from Mexico in the Gadsden Purchase on June 8, 1854."
What type of fuel is used by Fajr-3 missile?,400.txt,"The Fajr-3 (MIRV) is currently Iran's most advanced ballistic missile, it is a liquid fuel missile with an undisclosed range which was developed and produced domestically."
"""Who succeeded Reza Shah?""",400.txt,"In 1935, Reza Shah requested the international community to refer to the country by its native name, Iran."
"""What led to students capturing the US embassy?""",400.txt,"On November 4, 1979, a group of students seized the United States Embassy and took the embassy with 52 personnel and citizens hostage, after the United States refused to return Mohammad Reza Pahlavi to Iran to face trial in the court of the new regime."
"""Who is the Supreme Leader?""",400.txt,The Assembly elects the Supreme Leader and has the constitutional authority to remove the Supreme Leader from power at any time.
"""What distance can the Fajr-3 missile travel?""",400.txt,"The Fajr-3 (MIRV) is currently Iran's most advanced ballistic missile, it is a liquid fuel missile with an undisclosed range which was developed and produced domestically."
"""KKKK LLLL MMMM NNNN OOOO PPPP QQQQ RRRR ?""",unavailable,****** Our System did not learn the knowledge required to answer this query ******
