What was the capital of the Safavid Dynasty,"By the 1500s, Ismail I from Ardabil, established the Safavid Dynasty, with Tabriz as the capital.",400.txt
"What Proto-Indo-European term means ""skillful assembler""","The Middle Iranian ērān and aryān are oblique plural forms of gentilic ēr- (Middle Persian) and ary- (Parthian), both deriving from Proto-Iranian *arya- (meaning ""Aryan,"" i.e., ""of the Iranians""), argued to descend from Proto-Indo-European *ar-yo-, meaning ""skillful assembler.""",400.txt
When was Reza Shah forced to abdicate in Iran,"In 1941, Reza Shah was forced to abdicate in favor of his son, Mohammad Reza Pahlavi, and established the Persian Corridor, a massive supply route that would last until the end of the ongoing war.",400.txt
Who found the Archaemenid Empire in 550 BC,"In 550 BC, Cyrus the Great, son of Mandane and Cambyses I, took over the Median Empire, and founded the Achaemenid Empire by unifying other city states.",400.txt
Who triggered the Persian Revolt ,The conquest of Media was a result of what is called the Persian Revolt.,400.txt
What Empire neighbored and had a rivalry with Safavid Iran,"The centuries-long geopolitical and ideological rivalry between Safavid Iran and the neighboring Ottoman Empire, led to numerous Ottoman–Persian Wars.",400.txt
What were the first known examples of Iranian visual art ,The Iranian visual arts reached a pinnacle by the Sassanid Era.,400.txt
Who ended the Archaemenid Empire by conquest in 330 BC,The empire collapsed in 330 BC following the conquests of Alexander the Great.,400.txt
What latitudes does Iran lie between,"It lies in the monsoon region of Asia, with its coastal regions receiving over 5,000 mm (196.9 in) of rain annually.",226.txt
Persians have been in the Fars Province since what century,"Persians were present in the region since the 9th century BC, and became rulers of a large empire under the reign of the Achaemenid Dynasty in the 6th century BC.",400.txt
Who is responsible for electing and dismissing the Supreme Leader,The Assembly elects the Supreme Leader and has the constitutional authority to remove the Supreme Leader from power at any time.,400.txt
When did the Internet arrive in Iran,Iran received access to the Internet in 1993.,400.txt
Persians make up what percentage of Iran's population,"As a result, thereof, the modern-day Iran is the only official Shia nation of the world, with it holding an absolute majority in Iran and the Republic of Azerbaijan, having there the 1st and 2nd highest number of Shia inhabitants by population percentage in the world.",400.txt
Ismail I forced a conversion to what Islamic branch,"Iran was predominantly Sunni, but Ismail instigated a forced conversion to the Shia branch of Islam, by which the Shia Islam spread throughout the Safavid territories in the Caucasus, Iran, Anatolia, and Mesopotamia.",400.txt
The new Iranian government purged itself of what political opposition,The new government went about purging itself of the non-Islamist political opposition.,400.txt
The first Constitution of Iran was founded in what year,"The first Iranian Constitution and the first national parliament of Iran were founded in 1906, through the ongoing revolution.",400.txt
The Qajars drove the Russians out of what entire region,"In 1795, following the disobedience of the Georgian subjects and their alliance with the Russians, the Qajars captured Tblisi by the Battle of Krtsanisi, and drove the Russians out of the entire Caucasus, reestablishing a short-lived Iranian suzerainty over the region.",400.txt
